Poster: Multicamera Synchronization for Smartphones using Optimally Modulated Illuminations,The paper describes a rapid and accurate time-synchronization technique for smartphones using their built-in cameras and its preliminary evaluations for application development.
Poster: Sdguard: An Android Application Implementing Privacy Protection and Ransomware Detection,"Currently, the smartphone has become an essential communication and amusement tool, which has strong computing power and a variety of functions. Especially, the market share of smartphone with android system account for 84% in 2016[1]. Under android system, a large of privacy data (e.g. photos or videos) are stored in external storage (emulated Sdcard storage), which can be accessed by installed apps. This not only results in privacy leakage but also incurs ransomware attack[2] (e.g. simplocker). Therefore, we present Sdguard, an app, can implement fine-grain permission control based on Linux DAC mechanism and detect ransomware which encrypts content of file stored in external storage or lock user screen. To install Sdguard app, we need to ensure that the smartphone has been rooted and use FUSE filesystem on external storage. During installing, sdcard daemon of android (i.e. FUSE daemon) is replaced by our customized sdcard daemon. After rebooting system, the customized daemon is loaded, and each component of Sdguard is running."
Poster: MobiTemplate: A Template-based Rapid Cross-Platform Mobile Application Development Environment,"Customizable mobile services are usually expressed with complex services composed of different atomic services. Fine-grained atomic mobile services are not so convenient for end users to reuse. Considering that in identical or similar service domains, a great deal of the business logics and functions are reusable within the scope. So we present a template-based framework to allow reuse of services and to achieve rapid mobile application development. The reusable fine-grained service logics and functions are encapsulated into comparatively coarse-grained templates, from which the designers can create the personalized composite services and edit the templates efficiently."
Poster: Mobile Power Management Using FreeRTOS-based Uninterruptable Generator Supply,"Current designs of battery-powered uninterruptible power supplies only provide power for a short time, and offer few control options. We combined a compact synchronous generator with a battery with 10% of the capacity of a UPS of the same rating to produce an uninterruptible generator supply (UGS). The controller of this UGS runs FreeRTOS, which enables it to respond quickly to a power outage. A wifi module provides connectivity to a web server for real-time monitoring and management on a remote PC or cellphone."
Poster: Charge My Phone As I Instruct,"Charging mobile devices fast alleviates users' impatience in waiting for their devices to be charged. So, fast charging has been the focus of both industry and academia, developing and deploying various technologies, such as Quick Charge by Qualcomm, TurboPower by Motorola, Flash Charge by OPPO, etc. Fast charging, unfortunately, accelerates the capacity fading of device battery because it follows the Constant Current, Constant Voltage (CCCV) charge principle without considering the behavior of how users charge their devices. CCCV charging principle is a two-phase charging process consisting of (i) Constant-Current Charge (CC-Chg) and (ii) Constant-Voltage Charge (CV-Chg) [2] where CV-Chg is usually triggered at the end of charging (e.g., 80-100%) to stabilize the battery condition. However, fast charging technologies are agnostic of users' available charging time, resulting in premature termination of the planned charging if users only have limited time. This, in turn, leads to an incomplete CV-Chg phase or even skipping it completely. From our empirical measurements, we discovered that CV-Chg relaxes the batteries and slows down their capacity fading by up to 80% [1] incomplete CV-Chg shortens the battery life significantly over time!"
Poster: Docker-Based Self-Organizing IoT Services Architecture for Smarthome,"Internet of Things(IoT) was first coined in 1999 by Kevin Ashton. However with the technologies advancement, it seems that intelligent devices will invisibly be embedded in our life in few years. Enormous amounts of data need be exchanged every seconds. It calls for a seamless effect and easily interpretable communicating architecture. The research proposal will try to address some challenges and possible path in IoT enabled smarthome. It focuses primarily on two categories. Firstly, devices in IoT field is always distributed. So, there is a distributed IoT services architecture instead of traditional control-center solution. However, those devices are also limited in a certain area (such as a home local network). In order to reduce delay and burden, those distributed devices collect context information though a self-organizing broadcast network, and determine their next action based on that context data. Secondly, using Docker (a lightweight hardware-agnostic and platform-agnostic container) to package services. In our smarthome network, IoT services are distributed across different home electronics. Docker shields all the differences, so that we can quickly deploy and update module in the smarthome network after purchasing new electronics."
Poster: Improve Push Notification on Smartwatches,"Receiving push notifications is one of the key features of smartwatches. In our recent measurement study involving 27 smartwatch users [1], we found that push notifications are used by more than 200 applications, dominated by instant messaging, emails, social media, etc. In this work, we propose a suite of methods to optimize the performance, energy efficiency, and usability of smartwatch push notifications, which have several salient features distinguishing them from regular notifications received on a smartphone: requiring heavy phonewatch cooperation, being delivered over short-range Bluetooth link, and incurring non-trivial energy consumption on watches with very limited battery capacity. Considering these factors, our proposed work focuses on four aspects as elaborated."
Poster: Mobile Photo Data Management as a Platform Service,"This poster presents Pixelsior, a new mobile platform service for photo data management in mobile apps."
Poster: Towards Quick Angular Check to Rebuff Forged Position Attacks in Vehicular Communication,"Although Wireless Access in Vehicular Environment (WAVE) will be legally enforced from 2020 after the recent move by the U.S. Government [1], there is still an unresolved security issue. It is data plausibility, which is not addressed in any standard that comprises the WAVE framework. In particular, an attacker may forge false position values in safety beacons in order to cause unsafe response from startled receiving vehicles. The data plausibility is a longstanding issue for which various approaches based on sensor fusion, behavior analysis and communication constraints have been proposed. However, none of these completely solve the problem."
Poster: Visual Cue-Based VRU Protection on Smartphones,"As autonomous vehicles loom as reality, and the vehicle communication starts to be enforced by law from 2020, protecting vulnerable road users (VRUs) using vehicle communication is receiving attention. The current vehicle-to-pedestrian (V2P) communication as stipulated by the standards such as SAE J2735 implies that it is the vehicles that take the responsibility for VRU protection. User devices are essentially beacons that transmit Personal Safety Messages (PSMs), and upon receiving PSMs, the drivers (or autonomous vehicles) take necessary measures to protect them. We, however, believe that the road users also need information about nearby vehicles to protect themselves from dangerous situations. Using other technologies than the standard Dedicated Short Range Communication (DSRC), there have been existing works for VRU protection. They use Wi-Fi or Wi-Fi Direct as replacements of DSRC. An automaker tested DSRC for VRU protection, but no technical detail has been presented. An important issue with the existing VRU protection proposals is that they are fraught with false alarms, which lowers the utility of the whole idea. Although one can come up with a highly precise collision prediction model, any such model will generate a huge number of false alarms, especially in urban environments. For example, if a pedestrian walks along a sidewalk well protected from the driveway, all passing vehicles will generate an alert to the pedestrian and vice versa. So our approach instead provides intuitive visual cues to the smartphone user looking at the screen, so that they can use their discretion to determine the level of danger for themselves."
