mm-FLEX: an open platform for millimeter-wave mobile full-bandwidth experimentation,"Millimeter-Wave (mm-wave) technology is increasingly being considered for mobile devices and use cases such as vehicular communication. This requires suitable experimentation platforms to support systems-oriented research to tackle the multitude of problems and challenges of mm-wave communications in such environments. To this end, we introduce mm-FLEX, a flexible and modular open platform with real-time signal processing capabilities that supports a bandwidth of 2 GHz and is compatible with mm-wave standard requirements. mm-FLEX integrates an FPGA-based baseband processor with full-duplex capabilities together with mm-wave RF front-ends and phased antenna arrays that are fully configurable from the processor in real-time. To demonstrate the capabilities of mm-FLEX, we implement a scalable, ultra-fast beam alignment mechanism for IEEE 802.11ad systems. It is based on compressive estimation of the signal's angle-of-arrival by means of switching through multiple receive beam patterns on a nano-second time-scale while receiving a packet preamble. Our implementation is open source and is made publicly available to the research community."
See through smoke: robust indoor mapping with low-cost mmWave radar,"This paper presents the design, implementation and evaluation of milliMap, a single-chip millimetre wave (mmWave) radar based indoor mapping system targetted towards low-visibility environments to assist in emergency response. A unique feature of milliMap is that it only leverages a low-cost, off-the-shelf mmWave radar, but can reconstruct a dense grid map with accuracy comparable to lidar, as well as providing semantic annotations of objects on the map. milliMap makes two key technical contributions. First, it autonomously overcomes the sparsity and multi-path noise of mmWave signals by combining cross-modal supervision from a co-located lidar during training and the strong geometric priors of indoor spaces. Second, it takes the spectral response of mmWave reflections as features to robustly identify different types of objects e.g. doors, walls etc. Extensive experiments in different indoor environments show that milliMap can achieve a map reconstruction error less than 0.2m and classify key semantics with an accuracy of ~ 90%, whilst operating through dense smoke."
Osprey: a mmWave approach to tire wear sensing,"Tire wear is a leading cause of automobile accidents globally. Beyond safety, tire wear affects performance and is an important metric that decides tire replacement, one of the biggest maintenance expense of the global trucking industry. We believe that it is important to measure and monitor tire wear in all automobiles. Current approach to measure tire wear is manual and extremely tedious. Embedding sensor electronics in tires to measure tire wear is challenging, given the inhospitable temperature, pressure and dynamics of the tire. Further, off-tire sensors placed in the well such as laser range-finders are vulnerable to road debris that may settle in tire grooves."
DigiScatter: efficiently prototyping large-scale OFDMA backscatter networks,"Recently proposed OFDMA backscatter could improve both concurrency and spectrum allocation flexibility for backscatter systems based on OFDM. However, we find that it is remarkably inefficient for the existing design to scale up in prototyping: it requires one-by-one offline computation to obtain tags' operating parameters, in order to ensure orthogonality among subcarriers in the system; moreover, the tag hardware has to be dedicatedly modified offline before being assigned multiple subcarriers. The inefficiency is caused by the current analog frequency synthesis design for the tag. This paper proposes DigiScatter, an OFDMA backscatter system realizing digital frequency synthesis, which provides an efficient prototyping approach for large-scale OFDMA backscatter networks. In DigiScatter, we for the first time integrate IDFT into the tag design; such a simple but effective improvement enables the system to support high concurrency and flexible spectrum resource allocation through pure software configurations in an online manner. We build a prototype and conduct comprehensive experiments to validate our design. DigiScatter physically realizes 100 and 300 concurrent OFDMA backscatter transmissions in 2.4GHz and 900MHz respectively, and provides frequency synthesis capability for supporting 1019 concurrent transmissions."
Gateway over the air: towards pervasive internet connectivity for commodity IoT,"This paper presents GateScatter, the first backscatter-based gateway connecting commodity IoT to WiFi. The backscatter design of GateScatter is an economic option towards pervasive Internet connectivity for ever-growing IoT. The carefully designed tag optimally reshapes ZigBee IoT packets with an arbitrary payload into an 802.11b WiFi packet over the air, such that the payload can be reliably retrieved at the WiFi receiver (hence a gateway). Gate-Scatter is highly compatible - it works with a wide range of IEEE 802.15.4-compliant systems, is agnostic to upper layer proprietary protocols, and does not require any modification to the commodity IoT platforms. GateScatter is extended to BLE IoT for generality. We prototype GateScatter hardware on FPGA where the wide applicability is demonstrated through evaluations on five popular IoT devices including Samsung SmartThings sensor, Philips smart bulb, and Amazon Echo Plus. Further extensive evaluations show that GateScatter consistently achieves throughput above 200 kbps and range of over 27 m under diverse practical scenarios including a corridor, dormitory room, and under user mobility."
Towards scalable backscatter sensor mesh with decodable relay and distributed excitation,"Backscatter communication, in which data is conveyed through reflecting excitation signals, has been advocated as a promising green technology for Internet of Things (IoT). Existing backscatter solutions however are mostly centralized, relying on a single excitation source, typically within one hop. Though recent works have demonstrated the viability of multi-hop backscatter, the excitation signal remains centralized, which attenuates quickly and fundamentally limits the communication scope. For long-range and high-quality communication, distributed excitations are expected and also naturally available as ambient signals (WiFi, BLE, cellular, FM, light, sound, etc.), albeit not being explored for boosting nearby tags for relaying."
Two to tango: hybrid light and backscatter networks for next billion devices,"The growth rate of Internet-of-Things (IoT) devices sold globally is constantly lower than the forecast. This deceleration is caused in part by the need for batteries and the scalability cost for their replacement. Backscatter has attracted significant interest over the past couple of years to enable sustainable sensing devices by eliminating batteries. IoT devices have been designed for transmitting sensed data with backscatter, but the question of efficient reception of data with battery-free devices is still open. As shown in this paper, classical low-power Radio Frequency (RF) envelope detectors are affected by low sensitivity, false detection alarms, and low energy efficiency. We argue that Light Fidelity (LiFi) can provide downlink and harvesting medium as LED lights are becoming pervasively deployed for illumination. We show, for the first time, that the advantages of LiFi and RF backscatter can be combined for battery-free communication. We design a low-power platform that leverages the complementary nature of these two mediums. We demonstrate that our platform removes energy-inefficiency in the downlink reception typical of RF backscatter, and significantly expands the deployment scenarios for battery-free tags when compared to conventional single-technology designs."
General-purpose deep tracking platform across protocols for the internet of things,"In recent years, considerable effort has been recently exerted to explore the high-precision RF-tracking systems indoors to satisfy various real-world demands. However, such systems are tailored for a particular type of device (e.g., RFID, WSN or Wi-Fi). With the rapid development of the Internet of Things (IoT), various new wireless protocols (e.g., LoRa, Sigfox, and NB-IoT) have been proposed to accommodate different demands. The coexistence of multiple types of IoT devices forces users to deploy multiple tracking systems in a warehouse or a smart home where various IoT devices are running, which causes huge additional costs in installation and maintenance. To address this issue, this work presents iArk, which is a general-purpose tracking platform for all types of IoT devices working at the ultra high frequency band. Our innovation lies in the design of the ""K+1""-model hardware, the protocol free middleware, and the multipath resistant learnware. By the virtue of decoupling from wireless protocols, iArk also allows researchers to concentrate on developing a new tracking algorithm without considering the protocol diversity. To date, the platform can support five mainstream types of IoT devices (i.e., NB-IoT, LoRa, RFID, Sigfox and Zigbee) and is scalable to other types with minimal effort."
SmokeBomb: effective mitigation against cache side-channel attacks on the ARM architecture,"Cache side-channel attacks abuse microarchitectural designs meant to optimize memory access to infer information about victim processes, threatening data privacy and security. Recently, the ARM architecture has come into the spotlight of cache side-channel attacks with its unprecedented growth in the market."
SonicPrint: a generally adoptable and secure fingerprint biometrics in smart devices,"The advent of smart devices has caused unprecedented security and privacy concerns to its users. Although the fingerprint technology is a go-to biometric solution in high-impact applications (e.g., smart-phone security, monetary transactions and international-border verification), the existing fingerprint scanners are vulnerable to spoofing attacks via fake-finger and cannot be employed across smart devices (e.g., wearables) due to hardware constraints. We propose SonicPrint that extends fingerprint identification beyond smartphones to any smart device without the need for traditional fingerprint scanners. SonicPrint builds on the fingerprint-induced sonic effect (FiSe) caused by a user swiping his fingertip on smart devices and the resulting property, i.e., different users' fingerprint would result in distinct FiSe. As the first exploratory study, extensive experiments verify the above property with 31 participants over four different swipe actions on five different types of smart devices with even partial fingerprints. SonicPrint achieves up to a 98% identification accuracy on smartphone and an equal-error-rate (EER) less than 3% for smartwatch and headphones. We also examine and demonstrate the resilience of SonicPrint against fingerprint phantoms and replay attacks. A key advantage of SonicPrint is that it leverages the already existing microphones in smart devices, requiring no hardware modifications. Compared with other biometrics including physiological patterns and passive sensing, SonicPrint is a low-cost, privacy-oriented and secure approach to identify users across smart devices of unique form-factors."
